TechID,System Type,Building Type,Building Location,UEC_kWhBase__heat,UEC_kWhBase__cool,UEC_kWhBase__ventFan
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ01,10980.15,1212.23,1325.04
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ02,17221.67,6371.71,3183.17
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ03,15792.22,8267.96,3814.86
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ04,26368.27,15692.34,6017.97
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ05,17336.71,7408.24,3751.19
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ06,8426.82,9703.74,3283.2
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ07,6816.11,7740.47,2621.08
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ08,7924.46,21190.08,5488.12
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ09,15090.04,20932.05,6172.68
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ10,7802.63,21360.27,5134.45
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ11,15057.92,29744.05,7319.75
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ12,14950.16,13041.39,4236.27
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ13,22157.82,38299.52,9924.5
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ14,21552.14,22719.5,6892.28
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,rDXHP,MFm,CZ15,5596.2,67741.68,12945.49
